user_id,user_status,message_status,country,city,scope,sent_date,delivery_date,control_group_date,view_count,view_date,click_count,click_date,failure_count,message_status_time,conversion_count,conversion_date
6a806bc9b7fecb00125bf482,known,Delivered,,,baf297dd-b523-46b3-b6c8-bc16b30c59f1,2026-08-17T02:21:26.026Z,2026-08-17T02:21:27.027Z,,,,,,,2026-08-17T02:21:27.027Z,,
67ea34424df83300198b28da,known,Delivered,,,cea03f10-5b55-43a2-bbd4-8b7c1dfc95ea,2026-08-15T04:11:30.030Z,2026-08-15T04:11:31.031Z,,,,,,,2026-08-15T04:11:31.031Z,,
69012b7a576cca00536eb1cf,known,Failed,,,a12df1d7-0157-45ff-8912-49c188bffe21,2026-08-15T03:12:29.029Z,,,,,,,1,2026-08-15T17:12:30.030Z,,
6918687377ffc100184e5694,known,Delivered,,,efaaceee-09c7-4f07-843e-c74c31bdb749,2026-08-14T10:55:30.030Z,2026-08-14T10:55:33.033Z,,,,,,,2026-08-14T10:55:33.033Z,,
6a609740f4b5a40031ba955f,known,Delivered,,,2d301e75-92ee-4db4-9017-2900508cb284,2026-08-14T10:32:12.012Z,2026-08-14T10:32:13.013Z,,,,,,,2026-08-14T10:32:13.013Z,,
6a7ddb8d0bdbb0001316e333,known,Delivered,,,2c77bc94-eaa7-41f8-a57d-288393b518c2,2026-08-14T10:11:27.027Z,2026-08-14T10:11:28.028Z,,,,,,,2026-08-14T10:11:28.028Z,,
670fb4f6610d240027e9f88e,known,Delivered,,,7b32e8b3-0dfd-43e1-a9ae-aa6169752fae,2026-08-14T08:44:26.026Z,2026-08-14T08:44:28.028Z,,,,,,,2026-08-14T08:44:28.028Z,,
6a7b757c20d6df0019fc9489,known,Delivered,,,0566248a-fca8-493a-aa37-d12de2fab09b,2026-08-14T08:35:27.027Z,2026-08-14T08:35:28.028Z,,,,,,,2026-08-14T08:35:28.028Z,,
6a62f6341f6b7a002dd38736,known,Opened,,,aca886df-c3cc-4f5a-b306-cedd913bd698,2026-08-14T08:12:04.004Z,2026-08-14T08:12:06.006Z,,1,2026-08-18T01:43:59.059Z,,,,2026-08-18T01:43:59.059Z,,
6a44c726ef67a500190cfb6c,known,Delivered,,,7a4d0fcc-a152-4fb7-93c5-2fdd1842b38f,2026-08-14T06:12:27.027Z,2026-08-14T06:12:29.029Z,,,,,,,2026-08-14T06:12:29.029Z,,
63eb6476952d6300126ebacd,known,Opened,,,2b40f0e0-50fb-49c1-bb0a-59f9045d1d7e,2026-08-14T05:19:15.015Z,2026-08-14T05:19:16.016Z,,1,2026-08-14T05:19:35.035Z,,,,2026-08-14T05:19:35.035Z,,
67fd86af1285580019c15934,known,Opened,,,fe9c8e51-6e45-4dc0-b95d-64d555d6152f,2026-08-14T05:10:43.043Z,2026-08-14T05:10:44.044Z,,1,2026-08-14T06:18:17.017Z,,,,2026-08-14T06:18:17.017Z,,
61b303468087b100122f17e9,known,Delivered,,,afb695cd-6c27-41d4-b768-dec4f67f1953,2026-08-14T04:51:28.028Z,2026-08-14T04:51:31.031Z,,,,,,,2026-08-14T04:51:31.031Z,,
6a5caceaea5ee700199da31b,known,Delivered,,,3d0c0e46-ca86-4aa0-a06d-7f8fdbaac6c1,2026-08-14T04:10:29.029Z,2026-08-14T04:10:32.032Z,,,,,,,2026-08-14T04:10:32.032Z,,
6a47bd22a3a7a5001287a2b7,known,Added to Control Group,,,dfa19569-194d-461c-b340-74df79449e1f,2026-08-13T18:38:46.046Z,,2026-08-13T18:38:46.456000,,,,,,2026-08-13T18:38:46.046Z,,
67ab2db6a23e66006cb79c4d,known,Added to Control Group,,,64e16e8e-5c7e-4e85-ae71-b9ea052844ee,2026-08-13T13:56:42.042Z,,2026-08-13T13:56:42.740000,,,,,,2026-08-13T13:56:42.042Z,,
67bc6c7f76b3ba0118467647,known,Opened,,,ebc33cba-85c8-47e8-a6ec-43feaba3654c,2026-08-13T09:41:20.020Z,2026-08-13T09:41:21.021Z,,2,2026-08-17T11:55:39.039Z,,,,2026-08-17T11:55:39.039Z,,
6a7ad651a394d5002158456c,known,Added to Control Group,,,295d8243-b386-4ef5-88f4-9c09f242d1ed,2026-08-13T09:27:11.011Z,,2026-08-13T09:27:11.566000,,,,,,2026-08-13T09:27:11.011Z,,
69c4fb4079919c0012d766eb,known,Opened,,,b609b512-e125-45b6-9bdd-cb711e7a5e38,2026-08-13T09:27:00.000Z,2026-08-13T09:27:01.001Z,,1,2026-08-13T09:27:08.008Z,,,,2026-08-13T09:27:08.008Z,,
