userId,status,group,businessId,urlKey,country
6a6fd3c4ec79f1002184233f,Delivered,TREATED,6a6fd40d3d966d0019f2354a,etsy-b9bk1r,CA
6a702e258050bc0012e2a7e5,Added to Control Group,CONTROL,6a702e27ec79f1002191f453,lupeg-lubricants-and-grease-manufacturing-llc-gkytnf,AE
6a703d8f26ca9200198d2d57,Delivered,TREATED,6a7057ac5861b30012611f39,snow-village-refrigeration-llc-e3rvvr,AE
6a70493a3d966d00191053db,Opened,TREATED,6a70493c3d966d0019105548,pension,UA
6a7083ae3d966d001934a996,Opened,TREATED,6a7083ae3d966d001934a9b4,wreck-or-mend-panels,AU
6a709203717698002db8bd70,Added to Control Group,CONTROL,6a709258af4225002d305b53,sixstars-mcdf9r,US
6a7167da3d966d0019502820,Added to Control Group,CONTROL,6a7167da3d966d0019502831,east-star-handlooms,LK
6a71686644213b189528093e,Opened,TREATED,6a7168c544213b1895282fb2,singko-printing-services4-prince,PH
6a71b911617d8800207d3a95,Delivered,TREATED,6a71b9255861b30012c5868c,sppg-kamulyan-iii-perbutulan-jxrmt7,ID
6a71c3fdec79f100211721d3,Opened,TREATED,6a71c3fdec79f100211721e4,furniture-lanka,LK
6a71eebb717698002d1d0fc2,Delivered,TREATED,6a71eefb617d8800209ab26f,finest-gem-lab,LK
6a72d6e9617d880020c8a653,Added to Control Group,CONTROL,6a72d74144213b18959d04c2,iconcrest-general-merchants-ltd,KE
6a74780d074a960012d46063,Added to Control Group,CONTROL,6a74785a074a960012d49958,adam-smith-ru2fzy,US
6a75a7d5074a9600120f8c21,Delivered,TREATED,6a75a85f6d7c52002134e839,ms-mahadev-modern-computer-institute,IN
6a76160556da1b00126f82c0,Delivered,TREATED,6a76160764f9e50217529f17,abdullah-store,PK
6a76caae64f9e5021760c0e6,Delivered,TREATED,6a76caaf640d890019bf1e35,fajr-althuraya-company-for-trading,SA
6a770b1164f9e502177ad1df,Added to Control Group,CONTROL,6a770b86640d890019d9ae6b,nexalink-corporate-supplies-private-limited,PK
6a7a5e1f20d6df0019a97446,Opened,TREATED,6a7a5e1f20d6df0019a97452,kameez-lab,PK
6a7ab3fa20d6df0019b332d6,Added to Control Group,CONTROL,6a7ab4b420d6df0019b39fcc,laravina-llc,US
6a7ad651a394d5002158456c,Added to Control Group,CONTROL,6a7ad8ca0720830021a99f2c,churros-cafe-llc,AE
6a7b6f1e20d6df0019fc54bc,Delivered,TREATED,6a7b6f1e20d6df0019fc54c8,jabara-ent-ioi865,ZW
6a7b757c20d6df0019fc9489,Delivered,TREATED,6a7b765957604d0012c588b6,baby-naz-trading,SA
6a7b757c20d6df0019fc9489,Delivered,TREATED,6a7b911ca394d50021937b2a,smart-pwh134,SA
6a7b757c20d6df0019fc9489,Delivered,TREATED,6a7e2a06ec3f0d0032522424,world-land-mark,SA
6a7c6ceaa394d50021d7ce53,Opened,TREATED,6a7c6ceda394d50021d7cf79,samcon-technical-service-fze,AE
6a7ddb8d0bdbb0001316e333,Delivered,TREATED,6a7ddbbaec3f0d00324c7676,invoice-dexmqb,US
6a7ddb8d0bdbb0001316e333,Delivered,TREATED,6a7dfbbcec3f0d00324f41e0,alex-richard,US
6a8065effcbce30021573880,Delivered,TREATED,6a80681219bfff002166638f,altex-artificial-intelligence-developing-services-llc-48k7rq,AE
6a806bc9b7fecb00125bf482,Delivered,TREATED,6a806bcafcbce30021587a2f,bites-and-bubbles,MY
6a822461fcbce30021789c36,Queued,TREATED,6a8224dcb7fecb00127d31f5,marrij-pro-ltd,GB
6a82fb958024e7002cea4116,Converted,TREATED,6a82fbcc16d50f0019d77a9a,md-ibrahim-7xf8yn,BD
