userId,group,sentAt,businessId
6a3e482a0b57e0001327dde6,TREATED,"30 Jul 2026, 16:20",6a3e482b0b57e0001327de57
6a3ea21927061200199867b5,TREATED,"30 Jul 2026, 10:46",6a3ea2e9061dfe00310a5038
6a3f638b7d976000218ba1f6,CONTROL,"",6a3f638b7d976000218ba202
6a436a6596bf5e0012222bbc,TREATED,"29 Jul 2026, 18:42",6a43b13c568006001913eba3
6a46133af2789100212b1878,CONTROL,"",6a46137d2e8831001925d8ae
6a4e1330d776560019c6b183,TREATED,"31 Jul 2026, 14:38",6a4e139f7cea2b00318a3e46
6a4f64b98e6e4b0012a9d6c4,CONTROL,"",6a4f65c07eda4c00214b2773
6a4fdee08e6e4b0012d7795c,TREATED,"3 Aug 2026, 12:25",6a4fdee08e6e4b0012d7798c
6a505adaa57f9c002149a951,CONTROL,"",6a505b886849580019e3a00f
6a54acfddbbffb003186bcb1,TREATED,"3 Aug 2026, 12:25",6a54acfedbbffb003186bd26
6a54acfddbbffb003186bcb1,TREATED,"3 Aug 2026, 12:25",6a58e0f75a15ab002dd59d10
6a54c86562896f002d120a7f,TREATED,"31 Jul 2026, 14:08",6a54c8bfdbbffb00319960c5
6a550e75c803e700192e174f,CONTROL,"",6a550fe23b57000019b7a459
6a55fd121d94d40031c3520f,CONTROL,"",6a55fd121d94d40031c3522b
6a55fd121d94d40031c3520f,CONTROL,"",6a6c43f14ee85b00315f274b
6a57521f0eae440012372672,CONTROL,"",6a5752470d4b5e002d53274d
6a58b331d193ab0031472237,TREATED,"30 Jul 2026, 11:09",6a674dbcf25e0e001202a726
6a58b688201c65001981203e,CONTROL,"",6a58b68a154cd60012f4bb9e
6a5b1e9023bdd30012878fd6,TREATED,"30 Jul 2026, 11:34",6a5b1e90fdbff400197286a5
6a5b4964ef0afb002110169c,TREATED,"3 Aug 2026, 12:25",6a5b4965ef0afb00211016d3
6a5dfa7d61af6200129b938b,CONTROL,"",6a5dfa7d61af6200129b9397
6a5e2b5c98a0580012004c67,CONTROL,"",6a5e2d621fd7170011c712f0
6a6066644b895d0019fea6f6,TREATED,"3 Aug 2026, 12:25",6a60668a75bd3a0031995635
6a6066644b895d0019fea6f6,TREATED,"3 Aug 2026, 12:25",6a6c75f3d1345b0025e8ed14
6a606e6675bd3a00319f89ea,CONTROL,"",6a606e6675bd3a00319f8a0c
6a608ca9656bb80012593c44,CONTROL,"",64da58b059308600113c7672
6a62123b0710f30020238b18,CONTROL,"",6a660ea53fe6860020dce97e
6a65f5748137860012e285f5,CONTROL,"",6a657e6ac3087d0012a8d522
6a684dc0d6fbed002d6ec9d2,TREATED,"30 Jul 2026, 18:01",6a684e7be3086e0019fde3a3
6a68c266b42e550012bac25b,TREATED,"30 Jul 2026, 16:54",6a68c2acda7e4d00211600ce
6a6993a530dbd6002d504634,TREATED,"29 Jul 2026, 18:40",6a6993a530dbd6002d50464a
6a6993a530dbd6002d504634,TREATED,"29 Jul 2026, 18:40",6a6dc81c4ee85b0031d16da3
6a6995fc30dbd6002d51d06a,CONTROL,"",6a6995fc30dbd6002d51d08a
6a699ddfb42e550012d4ab06,TREATED,"30 Jul 2026, 12:17",6a699e0d5ad33a0032a646a1
6a69e4a960788e002528eb18,CONTROL,"",6a69e4a92c59e20013cc757d
6a6a27b630dbd6002d9a6ed3,TREATED,"31 Jul 2026, 12:56",6a6a27b630dbd6002d9a6ee4
6a6af957895d3300191d7605,CONTROL,"",6a6af9585ad33a0032093a0d
6a6b02cf77101e001a016a7c,TREATED,"30 Jul 2026, 15:25",6a6b036130dbd6002dbf7e70
6a6b037ab42e55001231f328,CONTROL,"",6a6b04d85ad33a00320fc57d
6a6b0a2a60788e0025673dcc,CONTROL,"",6a6b0a2a60788e0025673deb
6a6b77e320a2c00019ef8868,TREATED,"3 Aug 2026, 12:25",6a6b77e320a2c00019ef8874
6a6b81075fe6890031546d28,CONTROL,"",6a6b81075fe6890031546d34
6a6c2eb46199a2002e63d64c,CONTROL,"",6a6c3288ff3dbe0021017489
6a6c309eb63ab20021efc5b1,TREATED,"31 Jul 2026, 12:17",6a6c310b4b62830012114840
6a6c4509d1345b0025cb628b,TREATED,"31 Jul 2026, 16:14",6a6c45c40aee440019187df3
6a6c68b5d1345b0025e10b4e,TREATED,"31 Jul 2026, 16:15",6a6c68b6d1345b0025e10bba
6a6c9f46e1514f002197aaf3,TREATED,"31 Jul 2026, 19:42",6a6ca182d928b8001916b409
6a6cc1b0d928b800191e55a3,CONTROL,"",6a6cc26ed20dd20012a1c1c3
6a6cc9144ee85b00319bb711,CONTROL,"",6a6cc933fa2db0002db9a946
6a6cdcd2d20dd20012a7e83f,CONTROL,"",6a6cdcd2d20dd20012a7e850
6a6cdcd2d20dd20012a7e83f,CONTROL,"",6a6d7e9bd928b80019334ec1
6a6db347e1514f0021c9aa36,CONTROL,"",6a6db348d20dd20012cfd4d5
6a6ddc47d1345b00254be9db,CONTROL,"",6a6ddc47d1345b00254be9f6
