ID,ClientProfile,InvoiceNumber,Product,AmountInINR,InvoiceDate: Day,Period,Product → Name
69981a6562b8d2002949182c,68245c73a6712a0020643350,80485,67ed22ef8812861b905e55ae,"5,000","Friday, February 20, 2026",YEARLY,Accounts Lite
69981c7c62b8d2002949d230,659841975ec962002a0836db,80486,67ed22ef8812861b905e55ae,"2,437","Friday, February 20, 2026",QUATERLY,Accounts Lite
699821cd1e0367002a4a6d33,60cb0d6afc862800121156ec,80487,67ed22ef8812861b905e55ae,699,"Friday, February 20, 2026",MONTHLY,Accounts Lite
699825241e0367002a4bf1d0,6495912f94ae1e00116f93ca,80488,67ed22ef8812861b905e55ae,"2,437","Friday, February 20, 2026",QUATERLY,Accounts Lite
6998282c62b8d200294eaa09,6996ad4115179f0018a365ae,80489,68da88e89da3e16b92879869,"260,000","Friday, February 20, 2026",LIFETIME,"Workflows, CRM Pro & Inventory"
69982bac7c7cd2001ec5715b,67b6d7e34fc91e00778e1603,80490,67ed22ef8812861b905e55ae,"6,962","Friday, February 20, 2026",YEARLY,Accounts Lite
69982f537c7cd2001ec77ab3,61d95406502afb0012f0876c,2025-26/MY/00052,67ed22f08812861b905e5c19,"27,815","Friday, February 20, 2026",3YEARLY,LHDN E-Invoicing
69982fc2d498d40011d611c2,67b6d7e34fc91e00778e1603,80491,67ed22ef8812861b905e55ae,"5,074","Friday, February 20, 2026",2YEARLY,Accounts Lite
699833696247a50011b3d3f5,69327a85dfbd400026130ad6,80492,66ab9a17719448fd53e260e6,"7,080","Friday, February 20, 2026",YEARLY,CRM Pro
699834b56247a50011b3f13f,69327a85dfbd400026130ad6,80493,,"11,210","Friday, February 20, 2026",,
69983511aba66c00100ff0aa,68626e84b440000020b288bb,80494,65cc64881cfc439f4e6d7b5d,"3,000","Friday, February 20, 2026",YEARLY,Starter Plus
6998369320a9460011733a4e,63ee2e3a749639001233c087,80495,65cc64881cfc439f4e6d7b5d,"2,822","Friday, February 20, 2026",YEARLY,Starter Plus
699844d820a94600117bd474,691ad0ac8aa466002a164d2f,80496,67ed22ef8812861b905e55ae,"1,586","Friday, February 20, 2026",YEARLY,Accounts Lite
69984822414fed0018996522,5f5f50d1efa0183855dbb039,80497,67ed22ef8812861b905e55ae,"2,055","Friday, February 20, 2026",YEARLY,Accounts Lite
69984f43d498d40011d7c002,68dbd54e34ca5f002b633b60,80498,67ed22ef8812861b905e55ae,"3,481","Friday, February 20, 2026",YEARLY,Accounts Lite
6998505e414fed00189d090a,692aa63d799fb40018a2c190,80499,68da88e49da3e16b92877a41,"14,750","Friday, February 20, 2026",YEARLY,Workflows
69985125414fed00189d5bd3,672e51d4dc656a003d1faec5,80500,67ed22ef8812861b905e55ae,"5,782","Friday, February 20, 2026",YEARLY,Accounts Lite
699857b6414fed0018a02f76,6984435f9b786a001fbbf625,80501,64c15973bf9d64959f848e3b,"1,000","Friday, February 20, 2026",YEARLY,Freelancer
69985c24aba66c0010247316,6877622d86db91001f061aa1,80502,67ed22ef8812861b905e55ae,"8,850","Friday, February 20, 2026",3YEARLY,Accounts Lite
69986bb7aba66c001028dfbd,663c4ee1345f43002027c6c2,2025-26/MY/00053,67ed22ef8812861b905e55ae,"1,275","Friday, February 20, 2026",QUATERLY,Accounts Lite
69986fded498d40011d94461,697cad3113dc96002a690bb2,80503,65cc64881cfc439f4e6d7b5d,"3,000","Friday, February 20, 2026",YEARLY,Starter Plus
699874bf414fed0018a8d37a,659534b22b7be60012e8a8ca,80504,67ed22ef8812861b905e55ae,"6,962","Friday, February 20, 2026",QUATERLY,Accounts Lite
6998928ee0089d00174a32e1,691f3fc8cd136a00188fe2be,80505,67ed22ef8812861b905e55ae,"1,999","Friday, February 20, 2026",QUATERLY,Accounts Lite
6998a1d46247a50011b74d98,6995c75115179f00188089e3,80506,68da88e59da3e16b92878049,"59,663","Friday, February 20, 2026",YEARLY,Operations
6998a25b1e0367002a71d2fb,685d92d528da2f0012114ad0,80507,68da88e59da3e16b92878049,"59,663","Friday, February 20, 2026",YEARLY,Operations
6998aa427e9057001fb70ca2,6836eb7f874d2f001fb1b736,80508,67ed22ef8812861b905e55ae,"2,437","Saturday, February 21, 2026",QUATERLY,Accounts Lite
6998c32f1a921675e17840c4,60f9a04edd68330012363450,80509,67ed22ef8812861b905e55ae,699,"Saturday, February 21, 2026",MONTHLY,Accounts Lite
6999352c7e9057001fbfb1e9,628c7f4b4521330019166b85,80510,67ed22ef8812861b905e55ae,"2,437","Saturday, February 21, 2026",QUATERLY,Accounts Lite
699942f2e0089d00175847ac,67d970c48fbc2c010651bfaf,80511,67ed22f08812861b905e5a7d,"3,000","Saturday, February 21, 2026",QUATERLY,Accounts
699947bd1e0367002a7f7e5e,675fb2f21d032906c848e04e,80512,65cc64881cfc439f4e6d7b5d,"3,540","Saturday, February 21, 2026",YEARLY,Starter Plus
69994c71414fed0018c2fbee,669de4e10d7d6000dafa6539,80513,67ed22ef8812861b905e55ae,"5,222","Saturday, February 21, 2026",YEARLY,Accounts Lite
69994dab20a9460011a6e85a,69954ef5bc7d38001112adc2,80514,67ed22ef8812861b905e55ae,"4,000","Saturday, February 21, 2026",YEARLY,Accounts Lite
699952cc6247a50011b8c391,68dddeef34ca5f002b8ce009,80515,67ed22ef8812861b905e55ae,"1,361","Saturday, February 21, 2026",MONTHLY,Accounts Lite
69995a601e0367002a86ceea,698dac818d68800018245b71,80516,67ed22ef8812861b905e55ae,"4,720","Saturday, February 21, 2026",YEARLY,Accounts Lite
69995e4520a9460011af67a4,664b1ac0dd3cee00dae85b5b,2025-26/MY/00054,67ed22ef8812861b905e58e9,"12,810","Saturday, February 21, 2026",YEARLY,Accounts Lite & CRM Pro
699964466247a50011b95903,65603b2ec5fb69002ac839d0,80517,67ed22ef8812861b905e55ae,"5,781","Saturday, February 21, 2026",YEARLY,Accounts Lite
69997865d498d40011dc2129,67dbaa13be5faa0035112c62,80518,67ed22ef8812861b905e55ae,"5,000","Saturday, February 21, 2026",YEARLY,Accounts Lite
69997b57e0089d00176e3ccb,68ebc0ce6674440048c6f107,80519,65cc64881cfc439f4e6d7b5d,"3,000","Saturday, February 21, 2026",YEARLY,Starter Plus
69998151414fed0018dba37c,6879f994b990da001986f8eb,80520,67ed22f08812861b905e5a7d,"5,400","Saturday, February 21, 2026",YEARLY,Accounts
6999896dd498d40011dcfe57,67301cc911fe9b008d3f2fd7,80521,67ed22f08812861b905e5a7d,"1,301","Saturday, February 21, 2026",MONTHLY,Accounts
6999929b61b3f60018106100,62c8bd80e089c700191c2f0a,80522,67ed22ef8812861b905e55ae,"7,560","Saturday, February 21, 2026",3YEARLY,Accounts Lite
69999370d498d40011dd59d3,69423194f5a53d002a730439,80523,67ed22ef8812861b905e55ae,"2,950","Saturday, February 21, 2026",YEARLY,Accounts Lite
699995b561b3f6001811d414,643e519f8b257f0012891a09,80524,67ed22ef8812861b905e55ae,"2,437","Saturday, February 21, 2026",QUATERLY,Accounts Lite
69999f2d61b3f6001814baa0,62d62d1ea9cbf60012b9c4dc,80525,67ed22ef8812861b905e55ae,"2,319","Saturday, February 21, 2026",QUATERLY,Accounts Lite
69999f686247a50011bba6bc,68d0301a8f23160036bbeb7e,80526,67ed22ef8812861b905e55ae,"3,481","Saturday, February 21, 2026",YEARLY,Accounts Lite
6999a2dac05966001f47e6ec,60f963aea5ae210014c9bb9f,80527,67ed22ef8812861b905e55ae,"2,437","Saturday, February 21, 2026",QUATERLY,Accounts Lite
6999a4f1c05966001f486b3a,5eedf6a6bb88523b4c49f7fb,80528,65cc64881cfc439f4e6d7b5d,"5,007","Saturday, February 21, 2026",YEARLY,Starter Plus
6999a5fa6ff949002a5c7152,664ee8a1a63a43004c28e675,80529,65cc64881cfc439f4e6d7b5d,"9,916","Saturday, February 21, 2026",YEARLY,Starter Plus
6999bb726247a50011bcb23f,66b6879d5dce7900191886ea,80530,674acc3f26156d43b1904958,"114,240","Saturday, February 21, 2026",LIFETIME,Inventory
6999c7e5cd3d52002a5b07d3,60a6e7288ad53f00130df674,80531,67ed22ef8812861b905e55ae,"8,451","Saturday, February 21, 2026",3YEARLY,Accounts Lite
6999d0b747ca3d001f5c512e,69597b6ad0e286001f3ca46e,80532,67ed22ef8812861b905e55ae,"12,916","Saturday, February 21, 2026",YEARLY,Accounts Lite
6999d703c05966001f4fe9ee,695aa4f49549a7002a4655bf,80533,65cc64881cfc439f4e6d7b5d,"2,360","Saturday, February 21, 2026",YEARLY,Starter Plus
6999e493cd3d52002a5d995f,697c8e28c7a145001fae31c4,80534,674acc3f26156d43b1904648,"5,240","Saturday, February 21, 2026",QUATERLY,Inventory Starter
6999e4f3cd3d52002a5dabda,697c8e4809c9e70011771d24,80535,674acc3f26156d43b1904648,"4,918","Saturday, February 21, 2026",QUATERLY,Inventory Starter
6999edc56247a50011bd1ba5,6990df92bc7d38001142c223,80536,65cc64881cfc439f4e6d7b5d,"4,552","Saturday, February 21, 2026",YEARLY,Starter Plus
699a04c947ca3d001f705089,6958228ca31a33001832a947,80537,67ed22ef8812861b905e55ae,"1,949","Sunday, February 22, 2026",QUATERLY,Accounts Lite
